--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
----------|------------------------------------------------
00000100  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000103  | 54: YM2151 (reg: 0x44, val: 0x02)
00000106  | 54: YM2151 (reg: 0x54, val: 0x01)
00000109  | 54: YM2151 (reg: 0x64, val: 0x1B)
0000010C  | 54: YM2151 (reg: 0x74, val: 0x7F)
0000010F  | 54: YM2151 (reg: 0x84, val: 0x1F)
00000112  | 54: YM2151 (reg: 0x94, val: 0x1F)
00000115  | 54: YM2151 (reg: 0xA4, val: 0x00)
00000118  | 54: YM2151 (reg: 0xB4, val: 0x00)
0000011B  | 54: YM2151 (reg: 0xC4, val: 0x00)
0000011E  | 54: YM2151 (reg: 0xD4, val: 0x00)
00000121  | 54: YM2151 (reg: 0xE4, val: 0x0F)
00000124  | 54: YM2151 (reg: 0xF4, val: 0x0F)
00000127  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000012A  | 54: YM2151 (reg: 0x45, val: 0x02)
0000012D  | 54: YM2151 (reg: 0x55, val: 0x01)
00000130  | 54: YM2151 (reg: 0x65, val: 0x1B)
00000133  | 54: YM2151 (reg: 0x75, val: 0x7F)
00000136  | 54: YM2151 (reg: 0x85, val: 0x1F)
00000139  | 54: YM2151 (reg: 0x95, val: 0x1F)
0000013C  | 54: YM2151 (reg: 0xA5, val: 0x00)
0000013F  | 54: YM2151 (reg: 0xB5, val: 0x00)
00000142  | 54: YM2151 (reg: 0xC5, val: 0x00)
00000145  | 54: YM2151 (reg: 0xD5, val: 0x00)
00000148  | 54: YM2151 (reg: 0xE5, val: 0x0F)
0000014B  | 54: YM2151 (reg: 0xF5, val: 0x0F)
0000014E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000151  | 54: YM2151 (reg: 0x46, val: 0x02)
00000154  | 54: YM2151 (reg: 0x56, val: 0x01)
00000157  | 54: YM2151 (reg: 0x66, val: 0x1B)
0000015A  | 54: YM2151 (reg: 0x76, val: 0x7F)
0000015D  | 54: YM2151 (reg: 0x86, val: 0x1F)
00000160  | 54: YM2151 (reg: 0x96, val: 0x1F)
00000163  | 54: YM2151 (reg: 0xA6, val: 0x00)
00000166  | 54: YM2151 (reg: 0xB6, val: 0x00)
00000169  | 54: YM2151 (reg: 0xC6, val: 0x00)
0000016C  | 54: YM2151 (reg: 0xD6, val: 0x00)
0000016F  | 54: YM2151 (reg: 0xE6, val: 0x0F)
00000172  | 54: YM2151 (reg: 0xF6, val: 0x0F)
00000175  | 54: YM2151 (reg: 0x27, val: 0xFC)
00000178  | 54: YM2151 (reg: 0x47, val: 0x02)
0000017B  | 54: YM2151 (reg: 0x57, val: 0x01)
0000017E  | 54: YM2151 (reg: 0x67, val: 0x1B)
00000181  | 54: YM2151 (reg: 0x77, val: 0x7F)
00000184  | 54: YM2151 (reg: 0x87, val: 0x1F)
00000187  | 54: YM2151 (reg: 0x97, val: 0x1F)
0000018A  | 54: YM2151 (reg: 0xA7, val: 0x00)
0000018D  | 54: YM2151 (reg: 0xB7, val: 0x00)
00000190  | 54: YM2151 (reg: 0xC7, val: 0x00)
00000193  | 54: YM2151 (reg: 0xD7, val: 0x00)
